,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,1.649,22.19,21.83,22.31,21.83,21.83,2309390.0,2.00468,51063570.0,76.517,3.855,639072.0,255628.8
1,603998,方盛制药,-0.434,13.77,13.91,13.92,13.73,13.83,1767100.0,0.6564800000000001,24399393.0,86.063,6.301,596250.25344,370657.03194
2,603997,继峰股份,0.0,14.51,14.48,14.53,14.43,14.51,2542050.0,1.48658,36804597.0,24.593,3.802,914130.0,248121.0
3,603996,中新科技,2.298,17.36,17.0,17.41,16.83,16.97,3289800.0,3.18548,56589044.0,44.513,3.729,521060.4,179285.4
4,603993,洛阳钼业,2.686,4.97,4.84,5.05,4.81,4.84,171090706.0,1.32078,851186337.0,82.833,4.341,8392937.753403,6438004.157403
5,603991,至正股份,-2.533,39.64,40.68,40.81,39.1,40.67,1562620.0,8.35626,62520757.0,59.164,6.867,295456.732072,74126.8
6,603990,麦迪科技,-0.618,38.62,38.73,39.05,38.45,38.86,297500.0,1.4875,11515182.0,51.493,7.886,312548.9566,77240.0
7,603989,艾华集团,0.201,39.96,39.9,40.01,39.42,39.88,938534.0,1.11234,37274960.0,45.409,6.452,1198800.0,337162.5
8,603988,中电电机,-0.048,62.36,62.69,62.84,62.2,62.39,84100.0,0.37545,5251516.0,207.867,7.617,498880.0,139686.4
9,603987,康德莱,-0.517,15.38,15.51,15.56,15.37,15.46,935162.0,1.18525,14427529.0,24.806,2.781,485139.03,121348.2
10,603986,兆易创新,0.45,78.18,77.99,79.9,77.62,77.83,1333166.0,2.6663300000000003,105285073.0,36.928,5.809,1584661.645092,390900.0
11,603985,恒润股份,1.149,45.79,45.27,45.9,45.27,45.27,830352.0,4.15176,37899126.0,29.007,5.986,366320.0,91580.0
12,603980,吉华集团,-0.748,26.53,26.67,27.06,26.42,26.73,10208171.0,10.20817,272040446.0,27.751,5.202,1326500.0,265300.0
13,603979,金诚信,1.438,17.63,17.41,17.89,17.38,17.38,6523442.0,3.6256500000000003,114731777.0,41.976,2.127,793350.0,317207.4224
14,603977,国泰集团,0.304,16.52,16.43,16.64,16.43,16.47,1583400.0,2.86433,26224868.0,28.0,3.665,365224.16,91322.56
15,603969,银龙股份,-0.148,20.23,20.2,20.51,20.11,20.26,11105755.0,7.27624,225481795.0,56.194,4.977,809200.0,308771.5015
16,603968,醋化股份,1.164,22.6,22.34,22.7,22.27,22.34,1614700.0,1.18206,36416424.0,31.389,3.52,462124.8,308716.0
17,603966,法兰泰克,0.525,22.99,23.04,23.27,22.89,22.87,1584908.0,3.96227,36530097.0,48.915,4.733,367840.0,91960.0
