date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-06-29,2541.35,2554.8,2552.98,2532.46,197543.77,15.34,0.6,2543.548,2514.3,2501.037,288109.51,263036.12,250819.23
2017-06-28,2548.16,2560.86,2537.64,2537.24,281949.69,-17.06,-0.67,2536.286,2505.199,2498.211,336088.64,263984.29,256325.21
2017-06-27,2541.69,2558.1,2554.7,2529.24,269847.12,11.38,0.45,2528.208,2499.167,2495.283,320407.14,257630.43,257166.9
2017-06-26,2531.28,2560.11,2543.32,2531.28,397167.47,14.22,0.56,2512.154,2495.211,2491.109,301980.02,248133.63,259169.41
2017-06-23,2510.71,2530.56,2529.1,2496.66,294039.5,12.43,0.49,2500.314,2492.996,2487.617,263734.54,234137.75,264492.7
2017-06-22,2491.92,2544.67,2516.67,2491.92,437439.44,19.42,0.78,2485.052,2492.013,2481.541,237962.73,238507.11,261177.89
2017-06-21,2487.85,2498.19,2497.25,2468.51,203542.17,22.82,0.92,2474.112,2491.049,2476.297,191879.93,216834.03,256616.2
2017-06-20,2489.2,2492.22,2474.43,2467.77,177711.53,-9.69,-0.39,2470.126,2489.727,2470.513,194853.71,223618.22,257829.2
2017-06-19,2455.03,2486.31,2484.12,2453.35,205940.05,31.33,1.28,2478.268,2488.885,2464.874,194287.24,223314.39,256095.91
2017-06-16,2454.84,2466.69,2452.79,2448.31,165180.44,-9.18,-0.37,2485.678,2485.508,2458.406,204540.97,231456.24,254359.52
2017-06-15,2474.26,2481.8,2461.97,2453.13,207025.45,-15.35,-0.62,2498.974,2487.775,2453.944,239051.5,238602.35,256529.62
2017-06-14,2505.06,2505.2,2477.32,2471.62,218411.08,-37.82,-1.5,2507.986,2491.223,2449.912,241788.13,248666.13,258124.37
2017-06-13,2517.33,2519.15,2515.14,2499.73,174879.2,-6.03,-0.24,2509.328,2491.399,2445.133,252382.73,256703.37,258910.02
2017-06-12,2515.58,2545.04,2521.17,2512.14,257208.69,1.9,0.07,2499.502,2487.006,2438.149,252341.54,270205.18,264619.45
2017-06-09,2506.76,2536.99,2519.27,2504.9,337733.09,12.24,0.49,2485.338,2482.239,2429.054,258371.51,294847.65,265956.74
2017-06-08,2481.16,2508.93,2507.03,2475.74,220708.59,23.0,0.93,2476.576,2471.069,2419.337,238153.19,283848.67,260229.54
2017-06-07,2468.55,2492.98,2484.03,2464.19,271384.09,18.02,0.73,2474.46,2461.546,2409.8,255544.13,296398.37,257272.77
2017-06-06,2447.04,2466.31,2466.01,2444.19,174673.22,15.66,0.64,2473.47,2451.298,2401.904,261024.0,292040.19,261028.63
2017-06-05,2468.94,2473.36,2450.35,2442.27,287358.56,-25.11,-1.01,2474.51,2440.863,2394.633,288068.83,288877.43,267770.51
2017-06-02,2494.37,2499.71,2475.46,2472.65,236641.48,-20.99,-0.84,2479.14,2431.303,2388.387,331323.78,277262.81,263786.28
2017-06-01,2476.21,2497.69,2496.45,2465.48,307663.31,17.37,0.7,2465.562,2420.113,2381.103,329544.15,274456.89,261328.05
2017-05-31,2470.94,2502.85,2479.08,2462.26,298783.44,7.87,0.32,2448.632,2408.6,2373.12,337252.6,267582.6,254054.04
2017-05-26,2467.9,2483.75,2471.21,2462.23,309897.34,-2.29,-0.09,2429.126,2398.867,2366.518,323056.37,261116.67,249481.71
2017-05-25,2399.36,2476.91,2473.5,2399.27,503633.34,65.93,2.74,2407.216,2389.291,2360.539,289686.04,259033.72,248903.88
2017-05-24,2402.52,2413.42,2407.57,2382.19,227743.31,-4.23,-0.17,2383.466,2375.87,2354.089,223201.84,237065.82,236957.53
2017-05-23,2378.74,2412.03,2411.8,2376.64,346205.56,30.25,1.27,2374.664,2367.605,2350.947,219369.62,236610.42,235261.84
2017-05-22,2359.97,2384.16,2381.55,2358.78,227802.31,19.89,0.84,2368.568,2358.054,2347.454,197912.61,218147.18,233498.06
2017-05-19,2351.52,2363.36,2361.66,2351.52,143045.69,6.91,0.29,2368.608,2352.509,2345.76,199176.96,230017.07,235644.8
2017-05-18,2348.87,2361.02,2354.75,2347.38,171212.31,-8.81,-0.37,2371.366,2348.403,2344.46,228381.39,246663.58,241780.88
2017-05-17,2377.12,2378.99,2363.56,2361.63,208582.25,-17.76,-0.75,2368.274,2345.471,2342.974,250929.81,250309.75,247179.98
2017-05-16,2376.9,2381.73,2381.32,2362.11,238920.47,-0.43,-0.02,2360.546,2342.092,2341.663,253851.22,248199.21,248627.7
2017-05-15,2380.27,2394.52,2381.75,2378.97,234124.09,6.3,0.27,2347.54,2337.639,2340.474,238381.75,240525.49,249869.8
2017-05-12,2336.61,2375.64,2375.45,2335.37,289067.84,36.16,1.55,2336.41,2334.168,2339.162,260857.18,237846.76,250323.08
2017-05-11,2318.05,2342.18,2339.29,2313.83,283954.41,14.37,0.62,2325.44,2331.787,2338.795,264945.76,238774.05,247266.21
2017-05-10,2315.56,2337.05,2324.92,2315.56,223189.27,8.63,0.37,2322.668,2332.308,2340.774,249689.7,236849.23,249888.65
2017-05-09,2312.85,2320.29,2316.29,2307.87,161573.16,-9.81,-0.42,2323.638,2334.29,2343.633,242547.21,233913.25,258329.6
2017-05-08,2309.24,2326.1,2326.1,2298.32,346501.22,5.5,0.24,2327.738,2336.854,2346.777,242669.22,248848.94,265879.96
