date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-06-29,6876.08,6940.2,6939.66,6876.08,16529490.0,65.91,0.96,6898.464,6823.814,6720.858,17275160.0,16655700.1,15496239.65
2017-06-28,6905.05,6918.76,6873.75,6857.7,15658292.0,-50.83,-0.73,6861.328,6802.271,6693.107,18137129.2,16725565.9,15464259.25
2017-06-27,6928.96,6937.66,6924.58,6890.43,16302816.0,-6.22,-0.09,6850.258,6782.901,6671.657,18190710.8,16705391.7,15453234.05
2017-06-26,6837.08,6930.8,6930.8,6833.91,19745470.0,107.27,1.57,6814.024,6763.4,6647.781,17956204.6,16579459.8,14646105.47
2017-06-23,6750.6,6823.53,6823.53,6713.58,18139732.0,69.55,1.03,6772.88,6734.399,6623.351,16818550.0,16072213.5,14368688.97
2017-06-22,6815.42,6860.42,6753.98,6752.84,20839336.0,-64.42,-0.94,6749.164,6721.575,6606.468,16036240.2,15634304.8,14201382.17
2017-06-21,6763.21,6818.4,6818.4,6747.25,15926200.0,74.99,1.11,6743.214,6711.635,6591.784,15314002.6,14954133.5,13748337.47
2017-06-20,6744.7,6768.79,6743.41,6730.61,15130285.0,18.33,0.27,6715.544,6695.208,6571.987,15220072.6,15185017.3,13664117.72
2017-06-19,6699.2,6725.08,6725.08,6688.63,14057197.0,20.13,0.3,6712.776,6671.86,6558.897,15202715.0,14688502.7,13523766.42
2017-06-16,6719.54,6726.44,6704.95,6690.36,14228183.0,-19.28,-0.29,6695.918,6646.304,6547.446,15325877.0,14433775.5,13391818.37
2017-06-15,6671.6,6724.23,6724.23,6668.75,17228148.0,44.18,0.66,6693.986,6617.902,6537.987,15232369.4,14336779.2,13223088.02
2017-06-14,6718.65,6732.04,6680.05,6671.66,15456550.0,-49.52,-0.74,6680.056,6583.942,6530.169,14594264.4,14202952.6,13120747.52
2017-06-13,6626.51,6742.81,6729.57,6625.5,15043497.0,88.78,1.34,6674.872,6560.412,6526.134,15149962.0,14201076.4,13122734.87
2017-06-12,6659.47,6686.39,6640.79,6631.77,14673007.0,-54.5,-0.81,6630.944,6532.161,6512.681,14174290.4,12712751.13,12880840.02
2017-06-09,6658.17,6700.29,6695.29,6654.22,13760645.0,40.71,0.61,6596.69,6512.303,6500.796,13541674.0,12665164.43,12688008.02
2017-06-08,6647.31,6673.61,6654.58,6637.48,14037623.0,0.45,0.01,6541.818,6491.36,6486.384,13441189.0,12768459.53,12689490.67
2017-06-07,6509.47,6658.73,6654.13,6509.41,18235038.0,144.2,2.21,6487.828,6471.932,6473.631,13811640.8,12542541.43,12680703.77
2017-06-06,6464.6,6509.93,6509.93,6453.62,10165139.0,40.41,0.62,6445.952,6448.765,6463.362,13252190.8,12143218.13,12325959.57
2017-06-05,6425.46,6484.2,6469.52,6424.58,11509925.0,48.59,0.76,6433.378,6445.933,6458.343,11251211.86,12359030.13,12439624.82
2017-06-02,6370.89,6426.16,6420.93,6318.96,13258220.0,36.3,0.57,6427.916,6448.588,6459.525,11788654.86,12349861.23,12469156.17
2017-06-01,6427.55,6460.39,6384.63,6382.78,15889882.0,-60.12,-0.93,6440.902,6458.071,6467.258,12095730.06,12109396.83,12462793.67
2017-05-31,6490.79,6512.83,6444.75,6432.52,15437788.0,2.54,0.04,6456.036,6476.396,6477.672,11273442.06,12038542.43,12307682.57
2017-05-30,6442.21,6450.27,6447.06,6442.21,160244.3,4.85,0.07,6451.578,6491.855,6486.543,11034245.46,12044393.33,12164755.72
2017-05-26,6474.25,6492.07,6442.21,6428.56,14197140.0,-43.65,-0.67,6458.488,6493.2,6496.2,13466848.4,13048928.9,12810472.15
2017-05-25,6440.88,6495.33,6485.86,6385.79,14793596.0,25.56,0.4,6469.26,6489.29,6506.192,12911067.6,12710851.6,12939693.45
2017-05-24,6398.56,6460.3,6460.3,6324.35,11778442.0,37.84,0.59,6475.24,6481.408,6513.939,12123063.6,12610521.8,12997656.0
2017-05-23,6464.39,6523.86,6422.46,6419.84,14241805.0,-59.15,-0.91,6496.756,6475.33,6520.634,12803642.8,12818866.1,13084177.7
2017-05-22,6485.62,6532.4,6481.61,6457.92,12323259.0,-14.46,-0.22,6532.132,6477.959,6526.803,13054541.2,12508701.0,13083807.45
2017-05-19,6529.96,6544.27,6496.07,6465.96,11418236.0,-19.69,-0.3,6527.912,6470.752,6537.296,12631009.4,12520219.5,13080257.05
2017-05-18,6517.88,6562.64,6515.76,6500.6,10853576.0,-52.12,-0.79,6509.32,6470.463,6548.95,12510635.6,12588451.1,13279017.5
2017-05-17,6587.32,6621.05,6567.88,6560.05,15181338.0,-31.46,-0.48,6487.576,6476.444,6558.309,13097980.0,12816190.5,13471477.85
2017-05-16,6447.95,6599.34,6599.34,6418.48,15496297.0,138.83,2.15,6453.904,6478.949,6566.763,12834089.4,12576822.7,13435692.8
