date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-06-29,3649.25,3669.13,3668.83,3644.73,85589496.0,22.66,0.62,3656.138,3607.79,3570.891,104167240.0,98098240.8,91765636.0
2017-06-28,3664.16,3672.19,3646.17,3644.03,97920864.0,-28.55,-0.78,3640.44,3593.786,3562.336,114154736.0,97802544.8,92642547.6
2017-06-27,3665.58,3676.53,3674.72,3648.76,97558704.0,6.63,0.18,3628.796,3582.699,3554.672,112142528.0,96391536.8,92987991.6
2017-06-26,3627.02,3671.94,3668.09,3627.02,134638000.0,45.21,1.25,3603.15,3573.454,3544.957,108732699.2,94153380.0,93272114.0
2017-06-23,3583.44,3623.24,3622.88,3569.32,105129136.0,32.54,0.91,3580.266,3564.084,3535.574,97764528.0,89727696.8,91702271.6
2017-06-22,3583.56,3635.53,3590.34,3581.34,135526976.0,2.39,0.07,3559.442,3559.413,3528.713,92029241.6,89333610.4,92981896.4
2017-06-21,3567.13,3587.99,3587.95,3545.57,87859824.0,41.46,1.17,3547.132,3556.477,3520.404,81450353.6,84803403.2,90383205.6
2017-06-20,3560.79,3563.7,3546.49,3539.51,80509560.0,-7.18,-0.2,3536.602,3551.069,3512.216,80640545.6,86459416.8,91835766.0
2017-06-19,3520.06,3554.91,3553.67,3520.06,79797144.0,34.91,0.99,3543.758,3545.708,3505.454,79574060.8,84817400.0,92437265.6
2017-06-16,3522.97,3536.14,3518.76,3514.39,76452704.0,-10.03,-0.28,3547.902,3537.216,3497.963,81690865.6,84811500.8,92021084.8
2017-06-15,3530.75,3542.28,3528.79,3508.95,82632536.0,-6.51,-0.18,3559.384,3533.991,3491.93,86637979.2,85433031.2,92486429.2
2017-06-14,3571.25,3571.25,3535.3,3530.27,83810784.0,-46.97,-1.31,3565.822,3530.886,3485.989,88156452.8,87482550.4,93341644.0
2017-06-13,3569.16,3584.41,3582.27,3559.21,75177136.0,7.88,0.22,3565.536,3526.644,3480.657,92278288.0,89584446.4,94413225.6
2017-06-12,3570.22,3603.69,3574.39,3565.9,90381168.0,-1.78,-0.05,3547.658,3516.46,3471.503,90060739.2,92390848.0,94803249.6
2017-06-09,3561.24,3590.89,3576.17,3560.63,101188272.0,15.19,0.43,3526.53,3507.064,3462.053,87932136.0,93676846.4,94953514.4
2017-06-08,3531.24,3562.27,3560.98,3528.18,90224904.0,27.11,0.77,3508.598,3498.013,3451.077,84228083.2,96630182.4,95356745.6
2017-06-07,3493.88,3537.09,3533.87,3491.13,104419960.0,40.99,1.17,3495.95,3484.332,3439.913,86808648.0,95963008.0,95449631.6
2017-06-06,3464.38,3492.88,3492.88,3460.45,64089392.0,24.13,0.7,3487.752,3473.364,3430.846,86890604.8,97212115.2,94067216.8
2017-06-05,3480.17,3484.12,3468.75,3462.31,79738152.0,-17.76,-0.51,3485.262,3465.2,3424.142,94720956.8,100057131.2,97050211.2
2017-06-02,3491.59,3498.12,3486.51,3470.2,82668008.0,-11.23,-0.32,3487.598,3458.71,3419.832,99421556.8,99230668.8,98558070.0
2017-06-01,3485.22,3499.81,3497.74,3476.43,103127728.0,4.86,0.14,3487.428,3449.87,3415.726,109032281.6,99539827.2,99598773.2
2017-05-31,3495.07,3515.08,3492.88,3474.92,104829744.0,12.45,0.36,3472.714,3441.093,3411.496,105117368.0,99200737.6,99025868.0
2017-05-30,3479.62,3498.31,3480.43,3473.04,103241152.0,-5.23,-0.15,3458.976,3434.67,3408.181,107533625.6,99242004.8,98424254.0
2017-05-26,3479.62,3498.31,3480.43,3473.04,103241152.0,-5.23,-0.15,3445.138,3426.546,3406.147,105393305.6,97215651.2,98343814.0
2017-05-25,3414.4,3490.42,3485.66,3413.22,130721632.0,61.49,1.8,3429.822,3417.041,3404.461,99039780.8,96230182.4,99346677.6
2017-05-24,3409.72,3424.17,3424.17,3383.89,83553160.0,-0.02,-0.0,3412.312,3404.14,3402.437,90047372.8,94083308.8,98407597.2
2017-05-23,3405.03,3434.77,3424.19,3401.53,116911032.0,12.95,0.38,3409.472,3395.493,3403.277,93284107.2,94936255.2,98933546.4
2017-05-22,3400.59,3424.18,3411.24,3391.17,92539552.0,7.39,0.22,3410.364,3388.327,3403.631,90950384.0,90922318.4,98821034.4
2017-05-19,3395.23,3405.94,3403.85,3392.38,71473528.0,5.74,0.17,3407.954,3383.084,3406.408,89037996.8,94043291.2,99415012.4
2017-05-18,3387.67,3409.93,3398.11,3383.93,85759592.0,-11.86,-0.35,3404.26,3380.954,3409.293,93420584.0,97885471.2,101550546.8
2017-05-17,3423.19,3433.97,3409.97,3408.15,99736832.0,-18.68,-0.55,3395.968,3381.582,3411.682,98119244.8,99657719.2,103330030.4
2017-05-16,3390.93,3428.85,3428.65,3373.55,105242416.0,29.46,0.87,3381.514,3381.898,3414.32,96588403.2,98850998.4,103889580.0
2017-05-15,3391.59,3406.58,3399.19,3391.59,82977616.0,13.81,0.41,3366.29,3381.691,3416.885,90894252.8,97606503.2,104485707.2
2017-05-12,3350.94,3387.27,3385.38,3349.17,93386464.0,28.73,0.86,3358.214,3385.747,3421.25,99048585.6,99471976.8,107110530.4
