date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-06-29,10460.38,10523.52,10511.86,10459.94,149470640.0,60.29,0.58,10480.632,10377.81,10224.28,162398761.6,164596496.0,162480622.4
2017-06-28,10507.05,10517.94,10451.57,10436.08,153786208.0,-83.79,-0.8,10431.3,10348.793,10185.203,170435081.6,167501352.0,162767317.6
2017-06-27,10532.57,10548.8,10535.36,10479.35,160497024.0,-2.23,-0.02,10414.42,10318.789,10155.867,172713107.2,168279982.4,158811495.6
2017-06-26,10377.22,10537.59,10537.59,10377.22,177259312.0,170.81,1.65,10365.054,10287.735,10121.89,175348291.2,167695779.2,150794833.14
2017-06-23,10249.79,10366.78,10366.78,10196.39,170980624.0,101.58,0.99,10310.096,10245.975,10087.972,169478323.2,165711145.6,145544251.94
2017-06-22,10361.34,10418.61,10265.2,10265.2,189652240.0,-101.97,-0.98,10274.988,10227.042,10064.322,166794230.4,164980078.4,141145871.54
2017-06-21,10327.13,10367.17,10367.17,10269.32,165176336.0,78.64,0.76,10266.286,10215.394,10041.685,164567622.4,164174500.8,134962052.74
2017-06-20,10281.57,10323.0,10288.53,10273.06,173672944.0,25.73,0.25,10223.158,10189.665,10011.515,163846857.6,167165064.0,130728107.94
2017-06-19,10191.98,10262.8,10262.8,10191.87,147909472.0,71.56,0.7,10210.416,10152.404,9992.072,160043267.2,162613081.6,125657574.34
2017-06-16,10212.98,10233.8,10191.24,10176.86,157560160.0,-30.45,-0.3,10181.854,10110.384,9977.48,161943968.0,161285558.4,121460370.14
2017-06-15,10140.08,10225.05,10221.69,10134.41,178519200.0,70.16,0.69,10179.096,10070.749,9966.635,163165926.4,160364748.8,117106924.54
2017-06-14,10208.84,10226.15,10151.53,10138.82,161572512.0,-73.29,-0.72,10164.502,10021.613,9957.056,163781379.2,158033283.2,112734907.74
2017-06-13,10104.71,10237.4,10224.82,10102.5,154654992.0,104.83,1.04,10156.172,9992.944,9951.812,170483270.4,149343008.8,109159724.14
2017-06-12,10144.12,10197.1,10119.99,10108.98,157412976.0,-57.46,-0.56,10094.392,9956.045,9932.851,165182896.0,133893887.08,104512065.54
2017-06-09,10147.02,10182.61,10177.45,10124.94,163669952.0,28.73,0.28,10038.914,9929.969,9916.251,160627148.8,125377358.28,99841158.94
2017-06-08,10104.59,10162.48,10148.72,10097.66,181596464.0,38.84,0.38,9962.402,9901.602,9896.202,157563571.2,117311664.68,95765560.54
2017-06-07,9915.18,10117.06,10109.88,9910.53,195081968.0,193.96,1.96,9878.724,9867.976,9876.606,152285187.2,105749604.68,90425104.94
2017-06-06,9834.54,9915.92,9915.92,9821.13,128153120.0,73.32,0.74,9829.716,9833.366,9865.379,128202747.2,94291151.88,83894890.34
2017-06-05,9799.81,9866.34,9842.6,9799.65,134634240.0,47.71,0.49,9817.698,9831.739,9861.242,102604878.16,88702067.08,81603123.14
2017-06-02,9708.72,9811.58,9794.89,9637.54,148352064.0,64.56,0.66,9821.024,9844.575,9870.333,90127567.76,81635181.88,78747301.94
2017-06-01,9833.82,9854.55,9730.33,9730.06,155204544.0,-134.51,-1.36,9840.802,9862.521,9887.961,77059758.16,73849100.28,75317319.54
2017-05-31,9944.12,9976.65,9864.84,9855.3,74669768.0,5.61,0.06,9857.228,9892.499,9910.652,59214022.16,67436532.28,71359610.74
2017-05-30,9859.3,9860.82,9855.83,9854.5,163774.8,-3.4,-0.03,9837.016,9910.681,9928.608,60379556.56,68976439.48,71492704.74
2017-05-26,9871.68,9913.48,9859.23,9838.7,72247688.0,-34.55,-0.35,9845.78,9909.658,9947.549,74799256.0,75130244.0,75533027.6
2017-05-25,9792.1,9917.81,9893.78,9727.51,83013016.0,81.32,0.83,9868.126,9902.534,9966.047,73142796.0,74304959.6,76736822.4
2017-05-24,9722.04,9812.46,9812.46,9609.41,65975864.0,48.68,0.5,9884.24,9890.801,9981.6,70638442.4,74219456.4,76807892.8
2017-05-23,9878.38,9914.5,9763.78,9761.31,80497440.0,-135.87,-1.37,9927.77,9885.236,9999.238,75659042.4,75100605.2,77244350.8
2017-05-22,9958.29,10014.94,9899.65,9864.95,72262272.0,-71.31,-0.71,9984.346,9897.392,10015.644,77573322.4,73498628.8,77024162.4
2017-05-19,9978.5,10005.71,9970.96,9922.76,63965388.0,-3.39,-0.03,9973.536,9890.744,10036.378,75461232.0,74504179.2,76962342.4
2017-05-18,9955.86,10045.68,9974.35,9936.31,70491248.0,-55.76,-0.56,9936.942,9896.092,10055.785,75467123.2,75859422.0,77991796.6
2017-05-17,10030.36,10091.47,10030.11,10019.36,91078864.0,-16.55,-0.17,9897.362,9913.401,10074.488,77800470.4,76785538.8,79089903.0
2017-05-16,9819.71,10046.66,10046.66,9761.35,90068840.0,201.06,2.04,9842.702,9928.804,10093.555,74542168.0,75282689.2,78898353.4
2017-05-15,9812.38,9866.07,9845.6,9812.38,61701820.0,57.61,0.59,9810.438,9946.535,10113.765,69423935.2,74008970.0,78826113.0
2017-05-12,9755.87,9794.99,9787.99,9703.1,63994844.0,11.54,0.12,9807.952,9985.44,10147.477,73547126.4,75935811.2,81316763.6
2017-05-11,9704.88,9776.51,9776.45,9566.42,82157984.0,19.64,0.2,9855.242,10029.56,10190.783,76251720.8,79168685.2,83589531.8
2017-05-10,9875.74,9945.61,9756.81,9756.81,74787352.0,-128.53,-1.3,9929.44,10072.399,10231.325,75770607.2,79396329.2,86441370.2
2017-05-09,9794.81,9887.15,9885.34,9736.14,64477676.0,52.17,0.53,10014.906,10113.24,10276.275,76023210.4,79388096.4,89552688.2
2017-05-08,10000.95,10018.57,9833.17,9833.17,82317776.0,-191.27,-1.91,10082.632,10133.895,10312.171,78594004.8,80549696.0,92488456.4
2017-05-05,10119.54,10132.92,10024.44,10024.44,77517816.0,-123.0,-1.21,10162.928,10182.013,10353.987,78324496.0,79420505.6,93596949.2
2017-05-04,10164.81,10241.55,10147.44,10116.01,79752416.0,-36.7,-0.36,10203.878,10215.478,10385.574,82085649.6,80124171.2,94137261.2
2017-05-03,10208.6,10244.35,10184.14,10146.26,76050368.0,-39.83,-0.39,10215.358,10235.575,10409.558,83022051.2,81394267.2,94945398.4
2017-05-02,10205.66,10228.7,10223.97,10166.39,77331648.0,-10.68,-0.1,10211.574,10258.305,10421.787,82752982.4,82514017.6,94327052.6
